Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Correlation,Manipulative,Disease_specific,Disease_general,Notes,Coral,Region,,,
Nicolet et al. 2018 (Sci Rep),Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,NA,N,N,NA,No effect,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,No effect,Black-band disease,BBD,Didn't look at fishes individually,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon trifascialis,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Oxymonacanthus longirostris,Monacanthidae,Oxymonacanthus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus amboinensis,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus grammorhynchus,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Sutherland et al. 2010 (Env Microbio),Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,Y,N,NA,NA,White pox/Acroporid serratiosis (APS),White,Did not find Serratia marcenscens in parrotfish or fireworms--just C. abbreviata,Acropora palmata,Florida Keys,,,
Page and Willis 2008,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,"Acropora muricata, Pocillopora damicornis, and Porites cylindrica","Great Barrier Reef, 18 sites",,,
Nugues and Bak 2009,Acanthaster planci,Acanthasteridae,Acanthaster,Echinodermata,Positive,N,N,NA,Increased,Brown band disease,BrB,,Acropora cytherea,"Derawan Island, Indonesia",,,
Jordán-Garza and Jordán-Dahlgren 2011,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Montastraea faveolata,"Yucatán, Mexico",,,
Pollock et al. 2013,Cymo melanodactylus,Xanthidae,Cymo,Arthropoda,Negative,N,N,Positive,Decreased,White syndrome,White,"Correlation includes there just being more crabs on infected corals! But, it's abundance not bites (that's direct lesion feeding)",Acropora hyacinthus,"Lizard Island, Australia",,,
Katz et al. 2014,Acanthaster planci,Acanthasteridae,Acanthaster,Echinodermata,Positive,N,N,NA,Increased,Brown band disease,BrB,,Acropora hyacinthus,"Lizard Island, Australia",,,
Miller et al. 2014 (MEPS),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Positive,N,N,NA,Increased,"Unknown--""tissue loss associated with disease--described in Miller et al. 2014)",White,"Whether this was ""experimental"" or ""correlation"" is fuzzy but I think it's more experimental because there are controls, etc.",Acropora cervicornis,Florida Keys,,,
Randall et al. 2016,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Siderastrea siderea,Florida Keys,,,
Raymundo et al. 2016,Coralliophila violacea,Muricidae,Coralliophila,Mollusca,Positive,N,N,NA,Increased,White syndrome-like,White,,Porites spp.,Guam,,,
Shaver et al. 2017,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Positive,N,N,NA,Increased,Unknown (rapid tissue loss syndrome?),White,,Acropora cervicornis,Florida Keys,,,
Wright et al. 2017,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Acropora millepora,Great Barrier Reef,,,
"Beurmann et al., 2017 (Diseases of Aquatic Organisms: Assessment of disease lesion removal as a method to control chronic Montipora white syndrome)",NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Montipora capitata,"Kane'ohe Bay, Hawai'i",,,
Williams 2013,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Montipora efflorescens and Acropora acuminata,Palmyra Atoll,,,
Bettarel et al. 2018 (ISME),Drupella rugosa,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Microbiome shift,Microbiome,Increased viral abundance and shifted the community to more pathogenic taxa and reduced healthy taxa; not included as experimental because it's a snapshot ,Acropora formosa and Acropora millepora,Vietnam (Bay of Van Phong),,,
Antonius and Riegl 1997 (Atoll Research Bulletin),Drupella cornus,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Disease generally,General,,Acropora hemprichi,"Sharm el Sheikh region, Red Sea",,,
Grober-Dunsmore et al. 2006,Damselfishes (Stegastes spp. or Microspathodon chrysurus),Pomacentridae,Stegastes/Microspathodon,Chordata,Positive,N,N,Positive,NA,Likely white pox,White,Say relationship with C. abbreviata was marginal so didn't include,Acropora palmata,"St. John, USVI",,,
Grober-Dunsmore et al. 2006,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,N,N,None,NA,Likely white pox,White,,,,,,
Grober-Dunsmore et al. 2006,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,N,N,None,NA,Likely white pox,White,,,,,,
Raymundo et al. 2009,Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,Positive,N,N,Positive,NA,Disease generally,General,Included just the family because that's how they grouped them for analysis,All corals,Philippines and the GBR,,,
Raymundo et al. 2010,Acanthuridae,Acanthuridae,Acanthuridae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2011,Anthiinae,Anthiinae,Anthiinae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2012,Balistidae,Balistidae,Balistidae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2013,Carangidae,Carangidae,Carangidae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2014,Epinephilinae,Epinephilinae,Epinephilinae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2015,Labridae,Labridae,Labridae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2016,Pomacentridae,Pomacentridae,Pomacentridae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2017,Scaridae,Scaridae,Scaridae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
Raymundo et al. 2018,Lutjanidae,Lutjanidae,Lutjanidae,Chordata,NA,N,N,None,NA,Disease generally,,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,Negative,N,N,Negative,NA,Porites tissue loss,White,Not sure if butterflyfish/parrotfish should be included as No correlation here--there might still be a correlation but they weren't selected for in the best models,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Scaridae,Parrotfish,Chordata,Negative,N,N,Negative,NA,Montipora white syndrome,White,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,Positive,N,N,Positive,NA,Trematodiasis,Trematodiasis,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Scaridae,Parrotfish,Chordata,Negative,N,N,Negative,NA,Growth anomalies,GA,,Porites and Montipora spp.,Hawai'i,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Disease generally,General,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Skeletal eroding band,SEB,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Black-band disease,BBD,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Cyanobacterial bands (OtCy),Cyanobacterial,,All corals,"Ningaloo Reef, Australia",,,
McIlwain and Jones 1997,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,N,Y,NA,NA,Disease generally,General,,All corals,"Lizard Island, Australia",,,
Aeby 1991 (Pacific Science),Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,Negative,N,Y,NA,NA,Trematodiasis,Trematodiasis,"Very, very similar to Aeby 1992, but with different numbers, which makes me think they are different? Maybe the experiment was repeated?",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",Chordata,Negatively related; Direct lesion feeding,Trematodiasis
Miller and Williams 2007,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,N,Y,NA,NA,"White disease', likely white plague",White,Didn't include as a correlation because didn't actually analyze it,All corals,"Navassa Island, Caribbean",,,
Cole et al. 2009,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,Negative,N,Y,NA,Decreased,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Cole et al. 2009,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Chong-Seng et al. 2011,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon trifascialis,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Cheiloprion labiatus,Pomacentridae,Cheiloprion,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon citrinellus,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon klenii,Chaetodontidae,Chaetodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Neoglyphidodon melas,Pomacentridae,Neoglyphidodon,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Dischistodus melanotus,Pomacentridae,Dischistodus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus amboinensis,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus chrysurus,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus moluccensis,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
