Publication,Corallivore_Weffect,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Disease_specific,Disease_general,Notes,Coral,Region,,,
Chong-Seng et al. 2011,Dischistodus melanotus,Chordata,NA,N,Y,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus amboinensis,Chordata,NA,N,Y,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus chrysurus,Chordata,NA,N,Y,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus moluccensis,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Chordata,NA,N,Y,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes apicalis,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes nigricans,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Gomphosus varius,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Parrotfish,Chordata,NA,N,Y,Brown band disease,BrB,"Termed ""non-corallivores""",Acropora spp.,"Lizard Island, Australia",,,
Pratchett et al. 2010,Cymo melanodactylus,Arthropoda,Positive,N,N,Recent tissue loss--maybe a white syndrome?,White,"Not necessarily increasing disease here, but more crabs where there are more decaying corals",Acropora cytherea,Chagos archipelago,,,
Wolf and Nugues 2013 (Ecology),Hermodice carunculata,Annelida,Positive,N,N,White plague,White,No effect of C. abbreviata ,"Montastraea faveolata; S. sidera in the field (negative relationship between fireworm abundance and tissue condition--not examined in the lab); surveyed: M. faveolata, Montastraea cavernosa, Siderastrea siderea, Colpophyllia natans, Diploria strigos",Curaçao,,,
Zaneveld et al. 2016,Parrotfish,Chordata,Positive,N,N,Microbiome shift,Microbiome,,Porites (also looked at other corals but just Porites-parrotfish part they discuss in terms of predation-microbiome),Florida Keys,,,
van de Water et al. 2015 (Molecular Ecology),NA,NA,NA,N,N,NA,NA,,Acropora aspera,"Heron Island, GBR",,,
Soyoka and Nadaoka 2020,Drupella spp.,Mollusca,Positive,N,N,White syndrome,White,,,,,,
Soyoka and Nadaoka 2020,Drupella spp.,Mollusca,Positive,N,N,Growth anomolies,GA,,All corals,Southwestern Japan,,,
Maher et al. 2019,NA,NA,NA,N,N,NA,NA,,Pocillopora meandrina,"Mo'orea, French Polynesia",,,
Scott et al. 2017,NA,NA,NA,N,N,NA,NA,No effect of either corallivore,All corals,"Koh Tao, Thailand",,,
Ezzat et al. 2020,Chlorurus spilurus,Chordata,Positive,N,N,Microbiome shift,Microbiome,,Porites lobata,"Mo'orea, French Polynesia",,,
Ezzat et al. 2019,Ctenochaetus striatus,NA,Positive,N,N,Microbiome shift,Microbiome,Feaces increased bacterial opportunism when wounded,Porites lobata,"Mo'orea, French Polynesia",,,
Bright et al. 2015,NA,NA,NA,N,N,NA,NA,Not about corallivore effect on disease exactly,Acropora cervicornis,Florida,,,
Bright et al. 2016,Coralliophila abbreviata,Mollusca,Positive,N,N,"White pox disease, white band disease",White,,Acropora palmata,USVI (St. John and St. Thomas),,,
Nagelkerken et al. 1997,Cyphoma gibbosum,Mollusca,Positive,N,N,Aspergillosis,Aspergillosis,,Octocorals: Gorgonia ventalina and G. flabellum,"San Salvador, British VI, Key West, Jamaica, Puerto Rico, Saba, and Trinidad",,,
Slattery 1999,Thalassoma bifasciatum,Chordata,NA,N,Y,Aspergillosis,Aspergillosis,Didn't include Cyphoma gibbosum because they don't say explicitly that it was found on the disease margin,Gorgonia ventalina,Belize,,,
