Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Treatment,Treatment_simple,Treat_response,Treat_n,Control_response,Control_n,Manip_notes,Disease_specific,Disease_general,Notes,Coral,Region,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes apicalis,Pomacentridae,Stegastes,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes nigricans,Pomacentridae,Stegastes,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Gomphosus varius,Labridae,Gomphosus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Parrotfish,Scaridae,Parrotfish,Chordata,NA,NA,NA,NA,NA,NA,Observational,Brown band disease,BrB,"Termed ""non-corallivores""",Acropora spp.,"Lizard Island, Australia",,,
Pratchett et al. 2010,Cymo melanodactylus,Xanthidae,Cymo,Arthropoda,NA,NA,NA,NA,NA,NA,Observational,Recent tissue loss--maybe a white syndrome?,White,"Not necessarily increasing disease here, but more crabs where there are more decaying corals",Acropora cytherea,Chagos archipelago,,,
Wolf and Nugues 2013 (Ecology),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,No data of fireworm vs. no fireworm for white disease,White plague,White,No effect of C. abbreviata ,"Montastraea faveolata; S. sidera in the field (negative relationship between fireworm abundance and tissue condition--not examined in the lab); surveyed: M. faveolata, Montastraea cavernosa, Siderastrea siderea, Colpophyllia natans, Diploria strigos",Curaçao,,,
Wolf and Nugues 2013 (Ecology),Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,NA,NA,NA,NA,NA,No data of fireworm vs. no fireworm for white disease,White plague,White,C. abbreviata did not have the same effect--see Fig.3,,,,,
Zaneveld et al. 2016,Parrotfish,Scaridae,Parrotfish,Chordata,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,Microbiome shift,Microbiome,Increased bacterial opportunism when predation combined with nutrient pollution,Porites (also looked at other corals but just Porites-parrotfish part they discuss in terms of predation-microbiome),Florida Keys,,,
van de Water et al. 2015 (Molecular Ecology),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,NA,NA,,Acropora aspera,"Heron Island, GBR",,,
Soyoka and Nadaoka 2020,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,White syndrome,White,,,,,,
Soyoka and Nadaoka 2020,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Growth anomolies,GA,,All corals,Southwestern Japan,,,
Maher et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,NA,NA,,Pocillopora meandrina,"Mo'orea, French Polynesia",,,
Scott et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Observational,NA,NA,No effect of either corallivore,All corals,"Koh Tao, Thailand",,,
Ezzat et al. 2020,Chlorurus spilurus,Scaridae,Chlorurus,Chordata,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,Microbiome shift,Microbiome,Shifted microbiome in a distinct way from wounding,Porites lobata,"Mo'orea, French Polynesia",,,
Ezzat et al. 2019,Ctenochaetus striatus,Acanthuridae,Ctenochaetus,Chordata,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,Microbiome shift,Microbiome,Feaces increased bacterial opportunism when wounded,Porites lobata,"Mo'orea, French Polynesia",,,
Bright et al. 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Looked at snails attracted to diseased corals, rather than corals getting diseased by snails",NA,NA,Not about corallivore effect on disease exactly,Acropora cervicornis,Florida,,,
Bright et al. 2016,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,NA,NA,NA,NA,NA,Observational,"White pox disease, white band disease",White,Snails attracted to diseased corals in a y-maze,Acropora palmata,USVI (St. John and St. Thomas),,,
Nagelkerken et al. 1997,Cyphoma gibbosum,Ovulidae,Cyphoma,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Aspergillosis,Aspergillosis,,Octocorals: Gorgonia ventalina and G. flabellum,"San Salvador, British VI, Key West, Jamaica, Puerto Rico, Saba, and Trinidad",,,
Slattery 1999,Thalassoma bifasciatum,Labridae,Thalassoma,Chordata,NA,NA,NA,NA,NA,NA,No measure of corallivore effect on coral disease,Aspergillosis,Aspergillosis,Didn't include Cyphoma gibbosum because they don't say explicitly that it was found on the disease margin,Gorgonia ventalina,Belize,,,
Slattery 1999,Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,NA,NA,NA,NA,NA,NA,No measure of corallivore effect on coral disease,Aspergillosis,Aspergillosis,,,,,,
Slattery 1999,Cyphoma gibbosum,Ovulidae,Cyphoma,Mollusca,NA,NA,NA,NA,NA,NA,No measure of corallivore effect on coral disease,Aspergillosis,Aspergillosis,More grazing scars on diseased sea fans (authors suggest it's because there are weakened defenses in the infected coral so easier to eat),,,,,
Slattery et al. 2013 (Coral Reefs),Chaetodontidae (NO SPECIFIC SPP OBSERVED),Chaetodontidae,Chaetodontidae,Chordata,NA,NA,NA,NA,NA,NA,No measure of corallivore effect on coral disease,Sinularia Tissue Loss Disease,Sinularia TLD,"Feeding scars increased on diseased corals ( not that more predation = more disease, but that more disease = more predation, but still a positive relationship so included here). No specific species though! ","Sinularia soft corals (S. maxima, S. polydactyla, and a hybrid)",Guam,,,
Moreira et al. 2013 (Current Microbiology),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,Observational,Bleaching,Bleaching,Not included as a reservoir because none of the pathogens inside the worms were implicated in disease,Madracis decactis,"St. Peter and St. Paul Archipelago, Mid-Atlantic Ridge, Brazil",,,
Ross 2014 (Revista de Biologia Tropical),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,"Don't include right numbers (i.e. how many were bitten, controls, how many that were bitten developed disease, etc.)",NA,NA,No significant effect between disease and fireworms,Acropora cervicornis,"Montego Bay, Jamaica",,,
Shirur et al. 2016 (Mar Biol),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microbial communities rather than disease symptoms,NA,NA,Wounding,Gorgonians: Eunicea flexuosa and Pseudoplexaura porosa,"Puerto Morelos, Mexico",,,
Ranith et al. 2017 (Marine Ecology),Parrotfish (scars),Scaridae,Parrotfish,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,All corals,"Lakshadweep, Arabian Sea (200km from India)",,,
Vermeij et al. 2015 MEPS,Stegastes planifrons,Pomacentridae,Stegastes,Chordata,NA,NA,NA,NA,NA,NA,Observational,General disease (lots of YBD),General,,Orbicella species complex,Bonaire,,,
Martin et al. 2018,Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,NA,NA,NA,NA,NA,NA,Observational,Trematodiasis,Trematodiasis,Described trematodes in parrotfish,"NA (or, well, would be Porites?)",French Polynesia and Hawaii,,,
Kellogg et al. 2017 (Bull Mar Scie),Acanthurus leucopareius,Acanthuridae,Acanthurus,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,Montipora patula,"Kauai, Hawai'i",,,
Casey et al. 2014,Stegastes nigricans,Pomacentridae,Stegastes,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Casey et al. 2014,Stegastes apicalis,Pomacentridae,Stegastes,Chordata,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Willis et al. 2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Observational,NA,NA,No relationship observed,All corals,Great Barrier Reef,,,
